NCR,"7,509",,"9,271","8,298","10,538","5,995,904","6,253,249","7,074,603","7,322,361","4,220,571","4,916,589","4,915,075","5,962,693",70.39,78.62,69.47,81.43,,,,,,,,,
CAR,"1,828",,"1,983","1,861","2,153","924,751","906,162","1,013,418","1,077,900","718,902","755,772","795,792","921,227",77.74,83.40,78.53,85.46,,,,,,,,,
I-Ilocos Region,"4,623",,"5,376","4,996","6,127","2,865,115","2,950,775","3,331,404","3,546,764","2,364,308","2,525,358","2,696,074","3,104,841",82.52,85.58,80.93,87.54,,,,,,,,,
II-Cagayan Valley,"3,114",,"3,594","3,384","4,054","1,871,822","1,920,952","2,194,418","2,312,797","1,475,903","1,594,813","1,695,403","1,951,482",78.85,83.02,77.26,84.38,,,,,,,,,
III-Central Luzon,"7,903",,"9,511","8,654","10,993","5,822,678","6,056,392","6,829,661","7,289,791","4,544,930","4,989,374","5,265,335","6,304,414",78.06,82.38,77.10,86.48,,,,,,,,,
IV-A-CALABARZON,"9,858",,"12,074","11,097","13,965","7,205,067","7,619,272","8,674,351","9,193,096","5,197,200","5,928,566","6,180,510","7,635,624",72.13,77.81,71.25,83.06,,,,,,,,,
MIMAROPA Region,"2,421",,"2,832","2,679","3,348","1,552,520","1,589,326","1,831,328","1,991,599","1,198,683","1,294,666","1,391,895","1,670,695",77.21,81.46,76.00,83.89,,,,,,,,,
V-Bicol Region,"4,880",,"5,695","5,411","6,656","3,037,795","3,121,662","3,647,723","3,910,261","2,489,711","2,644,179","2,908,307","3,366,689",81.96,84.70,79.73,86.10,,,,,,,,,
VI-Western Visayas,"6,465",,"7,658","7,109","8,570","4,049,640","4,242,153","4,808,839","5,026,482","3,318,423","3,583,332","3,750,974","4,282,256",81.94,84.47,78.00,85.19,,,,,,,,,
VII-Central Visayas,"5,742",,"7,048","6,503","8,129","4,114,046","4,375,756","4,946,353","5,249,066","3,358,840","3,726,874","3,941,926","4,553,713",81.64,85.17,79.69,86.75,,,,,,,,,
VIII-Eastern Visayas,"5,173",,"5,754","5,503","6,271","2,576,229","2,698,880","3,051,649","3,166,260","2,146,545","2,310,252","2,436,166","2,706,476",83.32,85.60,79.83,85.48,,,,,,,,,
IX-Zamboanga Peninsula ,"2,968",,"3,410","3,143","3,831","1,981,427","1,931,795","2,193,033","2,298,930","1,439,050","1,498,007","1,636,148","1,877,471",72.63,77.54,74.61,81.67,,,,,,,,,
X-Northern Mindanao,"3,701",,"4,341","4,037","4,986","2,458,123","2,541,331","2,855,792","3,060,485","1,948,303","2,108,036","2,250,429","2,620,144",79.26,82.95,78.80,85.61,,,,,,,,,
XI-Davao Region,"3,501",,"4,108","3,777","4,834","2,660,156","2,659,704","3,026,393","3,236,251","1,886,823","2,154,052","2,222,299","2,628,997",70.93,80.99,73.43,81.24,,,,,,,,,
XII-SOCCSKSARGEN ,"2,807",,"3,438","3,207","4,074","1,985,062","2,086,112","2,431,265","2,606,492","1,501,294","1,669,116","1,823,176","2,102,493",75.63,80.01,74.99,80.66,,,,,,,,,
XIII-Caraga,"2,212",,"2,669","2,486","3,079","1,445,729","1,547,093","1,760,582","1,868,798","1,196,095","1,318,722","1,420,304","1,594,734",82.73,85.24,80.67,85.33,,,,,,,,,
BARMM,"3,122",r,"3,747","3,624","4,831","1,468,584","1,863,230","2,172,959","2,674,473","1,208,743","1,532,140","1,607,326","2,073,144",82.31,82.23,73.97,77.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Commission on Elections,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA Region,"2,421",,"2,832","2,679","3,348","1,552,520","1,589,326","1,831,328","1,991,599","1,198,683","1,294,666","1,391,895","1,670,695",77.21,81.46,76.00,83.89,,,,,,,,,
V-Bicol Region,"4,880",,"5,695","5,411","6,656","3,037,795","3,121,662","3,647,723","3,910,261","2,489,711","2,644,179","2,908,307","3,366,689",81.96,84.70,79.73,86.10,,,,,,,,,
VI-Western Visayas,"6,465",,"7,658","7,109","8,570","4,049,640","4,242,153","4,808,839","5,026,482","3,318,423","3,583,332","3,750,974","4,282,256",81.94,84.47,78.00,85.19,,,,,,,,,
VII-Central Visayas,"5,742",,"7,048","6,503","8,129","4,114,046","4,375,756","4,946,353","5,249,066","3,358,840","3,726,874","3,941,926","4,553,713",81.64,85.17,79.69,86.75,,,,,,,,,
VIII-Eastern Visayas,"5,173",,"5,754","5,503","6,271","2,576,229","2,698,880","3,051,649","3,166,260","2,146,545","2,310,252","2,436,166","2,706,476",83.32,85.60,79.83,85.48,,,,,,,,,
IX-Zamboanga Peninsula ,"2,968",,"3,410","3,143","3,831","1,981,427","1,931,795","2,193,033","2,298,930","1,439,050","1,498,007","1,636,148","1,877,471",72.63,77.54,74.61,81.67,,,,,,,,,
X-Northern Mindanao,"3,701",,"4,341","4,037","4,986","2,458,123","2,541,331","2,855,792","3,060,485","1,948,303","2,108,036","2,250,429","2,620,144",79.26,82.95,78.80,85.61,,,,,,,,,
XI-Davao Region,"3,501",,"4,108","3,777","4,834","2,660,156","2,659,704","3,026,393","3,236,251","1,886,823","2,154,052","2,222,299","2,628,997",70.93,80.99,73.43,81.24,,,,,,,,,
XII-SOCCSKSARGEN ,"2,807",,"3,438","3,207","4,074","1,985,062","2,086,112","2,431,265","2,606,492","1,501,294","1,669,116","1,823,176","2,102,493",75.63,80.01,74.99,80.66,,,,,,,,,
XIII-Caraga,"2,212",,"2,669","2,486","3,079","1,445,729","1,547,093","1,760,582","1,868,798","1,196,095","1,318,722","1,420,304","1,594,734",82.73,85.24,80.67,85.33,,,,,,,,,
BARMM,"3,122",r,"3,747","3,624","4,831","1,468,584","1,863,230","2,172,959","2,674,473","1,208,743","1,532,140","1,607,326","2,073,144",82.31,82.23,73.97,77.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Commission on Elections,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
